Start Time,Duration,Speaker,Character Count,Word Count
00:00:00.330,2s,Om Hashmi,26,4
00:00:02.080,10s,Om Hashmi,183,25
00:00:13.300,1s,Om Hashmi,19,2
00:00:17.450,1s,Om Hashmi,17,3
00:00:18.870,8s,David Mantica--Co-host!!!,124,26
00:00:27.890,1s,Om Hashmi,17,4
00:00:28.650,2s,David Mantica--Co-host!!!,22,4
00:00:30.300,4s,David Mantica--Co-host!!!,71,11
00:00:34.210,9s,David Mantica--Co-host!!!,160,23
00:00:43.560,8s,Om Hashmi,153,22
00:00:51.850,5s,Om Hashmi,112,19
00:00:57.140,14s,Om Hashmi,297,49
00:01:12.320,5s,Om Hashmi,113,15
00:01:18.090,8s,Om Hashmi,172,30
00:01:26.320,2s,Om Hashmi,46,8
00:01:29.000,17s,David Mantica--Co-host!!!,365,71
00:01:46.620,13s,David Mantica--Co-host!!!,210,36
00:01:59.920,7s,Om Hashmi,136,24
00:02:06.920,5s,Om Hashmi,87,11
00:02:11.390,4s,Om Hashmi,90,14
00:02:15.530,2s,Om Hashmi,18,2
00:02:18.390,7s,Om Hashmi,121,19
00:02:25.910,2s,Om Hashmi,11,1
00:02:27.240,4s,Om Hashmi,90,12
00:02:33.410,8s,Om Hashmi,149,28
00:02:41.770,6s,Om Hashmi,94,16
00:02:48.030,1s,Om Hashmi,21,3
00:02:49.700,2s,Om Hashmi,19,5
00:02:52.280,8s,Om Hashmi,110,20
00:03:01.290,6s,Om Hashmi,81,10
00:03:07.870,8s,Om Hashmi,102,18
00:03:15.200,1s,Om Hashmi,14,3
00:03:17.210,6s,Om Hashmi,99,20
00:03:23.900,3s,Om Hashmi,37,7
00:03:26.660,3s,Om Hashmi,51,7
00:03:29.890,2s,Om Hashmi,27,6
00:03:32.480,1s,Om Hashmi,22,3
00:03:34.300,3s,Om Hashmi,51,9
00:03:37.490,10s,David Mantica--Co-host!!!,179,30
00:03:47.210,3s,David Mantica--Co-host!!!,73,11
00:03:51.100,22s,David Mantica--Co-host!!!,386,64
00:04:13.710,5s,Om Hashmi,87,13
00:04:18.470,4s,Om Hashmi,59,15
00:04:22.280,8s,Om Hashmi,130,22
00:04:30.350,5s,Om Hashmi,99,18
00:04:35.290,1s,Om Hashmi,24,4
00:04:36.750,1s,David Mantica--Co-host!!!,5,1
00:04:37.460,8s,Om Hashmi,121,23
00:04:45.620,4s,Om Hashmi,66,12
00:04:49.450,12s,Om Hashmi,204,36
00:05:02.070,1s,Om Hashmi,16,4
00:05:03.900,4s,Om Hashmi,84,14
00:05:08.650,2s,Om Hashmi,18,4
00:05:11.210,6s,Om Hashmi,92,17
00:05:17.830,6s,Om Hashmi,105,15
00:05:23.840,9s,Om Hashmi,124,26
00:05:33.060,4s,Om Hashmi,69,11
00:05:37.970,5s,Om Hashmi,79,12
00:05:42.700,5s,Om Hashmi,85,13
00:05:47.120,2s,Om Hashmi,36,7
00:05:50.400,3s,Om Hashmi,41,8
00:05:53.900,2s,Om Hashmi,20,3
00:05:56.590,3s,Om Hashmi,36,7
00:06:00.240,4s,Om Hashmi,62,12
00:06:04.690,3s,Om Hashmi,60,11
00:06:08.160,6s,David Mantica--Co-host!!!,76,15
00:06:14.150,1s,David Mantica--Co-host!!!,31,6
00:06:16.820,5s,Om Hashmi,78,15
00:06:22.010,2s,Om Hashmi,55,11
00:06:25.220,6s,Om Hashmi,115,17
00:06:31.800,1s,Om Hashmi,9,1
00:06:32.920,8s,Om Hashmi,141,22
00:06:40.690,17s,David Mantica--Co-host!!!,207,36
00:06:58.370,7s,David Mantica--Co-host!!!,103,20
00:07:07.250,17s,Lara Hill,267,51
00:07:25.890,3s,Lara Hill,16,2
00:07:28.190,8s,Lara Hill,125,27
00:07:36.010,0s,Natallie Archer,11,2
00:07:36.990,3s,Lara Hill,31,7
00:07:39.790,1s,Natallie Archer,5,1
00:07:40.660,2s,Natallie Archer,18,3
00:07:42.600,3s,Lara Hill,50,9
00:07:45.860,1s,Natallie Archer,16,3
00:07:47.040,5s,Lara Hill,57,12
00:07:54.550,3s,Lara Hill,38,7
00:07:58.140,1s,Jonathan Stephens (he/him),19,4
00:08:00.120,2s,Lara Hill,28,5
00:08:04.510,2s,Jonathan Stephens (he/him),22,5
00:08:07.510,0s,Om Hashmi,8,2
00:08:07.940,4s,Lara Hill,51,12
00:08:11.640,1s,Lara Hill,18,4
00:08:13.540,1s,Jonathan Stephens (he/him),5,1
00:08:15.600,1s,Jonathan Stephens (he/him),2,1
00:08:20.010,1s,Jonathan Stephens (he/him),5,1
00:08:26.960,2s,Jonathan Stephens (he/him),33,6
00:08:28.970,10s,David Mantica--Co-host!!!,120,23
00:08:38.289,2s,David Mantica--Co-host!!!,34,7
00:08:41.159,3s,David Mantica--Co-host!!!,39,8
00:08:44.840,3s,Jonathan Stephens (he/him),37,8
00:08:47.690,2s,Jonathan Stephens (he/him),21,5
00:08:50.340,1s,David Mantica--Co-host!!!,12,2
00:08:51.600,1s,Jonathan Stephens (he/him),11,2
00:08:52.630,1s,David Mantica--Co-host!!!,12,2
00:08:53.900,2s,Jonathan Stephens (he/him),33,7
00:08:55.690,4s,David Mantica--Co-host!!!,58,14
00:08:59.800,8s,David Mantica--Co-host!!!,142,25
00:09:08.070,4s,David Mantica--Co-host!!!,75,16
00:09:13.940,1s,David Mantica--Co-host!!!,21,4
00:09:14.800,2s,Jonathan Stephens (he/him),11,2
00:09:17.150,8s,Jonathan Stephens (he/him),120,21
00:09:25.240,5s,Jonathan Stephens (he/him),71,13
00:09:31.410,11s,Jonathan Stephens (he/him),170,34
00:09:42.560,2s,Jonathan Stephens (he/him),7,2
00:09:44.840,1s,Jonathan Stephens (he/him),7,2
00:09:46.080,3s,Jonathan Stephens (he/him),41,9
00:09:51.180,2s,Jonathan Stephens (he/him),50,9
00:09:54.480,3s,Jonathan Stephens (he/him),36,7
00:09:58.190,4s,Jonathan Stephens (he/him),48,9
00:10:02.830,4s,Jonathan Stephens (he/him),62,12
00:10:06.970,8s,Jonathan Stephens (he/him),106,22
00:10:16.660,16s,Jonathan Stephens (he/him),224,42
00:10:33.310,5s,Jonathan Stephens (he/him),97,15
00:10:40.230,5s,Jonathan Stephens (he/him),78,14
00:10:47.060,17s,Jonathan Stephens (he/him),208,37
00:11:04.220,4s,Jonathan Stephens (he/him),38,7
00:11:09.090,11s,Jonathan Stephens (he/him),155,23
00:11:23.990,1s,Jonathan Stephens (he/him),12,1
00:11:25.860,1s,Jonathan Stephens (he/him),2,1
00:11:27.720,7s,Jonathan Stephens (he/him),109,20
00:11:34.680,20s,Jonathan Stephens (he/him),387,76
00:11:55.330,2s,Jonathan Stephens (he/him),33,8
00:11:58.180,9s,Jonathan Stephens (he/him),137,32
00:12:08.078,7s,Jonathan Stephens (he/him),91,18
00:12:16.090,2s,Jonathan Stephens (he/him),33,7
00:12:19.080,10s,Jonathan Stephens (he/him),165,29
00:12:29.620,20s,Jonathan Stephens (he/him),259,47
00:12:49.140,7s,Jonathan Stephens (he/him),120,23
00:12:58.240,8s,Jonathan Stephens (he/him),131,23
00:13:07.256,2s,Jonathan Stephens (he/him),14,4
00:13:10.340,16s,Jonathan Stephens (he/him),216,44
00:13:27.870,4s,Jonathan Stephens (he/him),43,10
00:13:31.280,18s,Jonathan Stephens (he/him),262,43
00:13:49.870,3s,Jonathan Stephens (he/him),38,8
00:13:52.860,11s,Jonathan Stephens (he/him),173,32
00:14:05.290,5s,Jonathan Stephens (he/him),67,13
00:14:11.070,18s,Jonathan Stephens (he/him),261,46
00:14:30.980,2s,Jonathan Stephens (he/him),24,5
00:14:34.560,10s,Jonathan Stephens (he/him),100,17
00:14:44.200,4s,Jonathan Stephens (he/him),51,8
00:14:48.160,7s,Jonathan Stephens (he/him),111,23
00:14:55.070,3s,Jonathan Stephens (he/him),65,13
00:14:58.500,6s,Jonathan Stephens (he/him),106,21
00:15:07.380,2s,Jonathan Stephens (he/him),31,7
00:15:09.770,15s,Jonathan Stephens (he/him),240,39
00:15:24.420,5s,Jonathan Stephens (he/him),71,11
00:15:29.300,2s,Jonathan Stephens (he/him),21,4
00:15:32.190,5s,Jonathan Stephens (he/him),52,9
00:15:37.210,14s,Jonathan Stephens (he/him),249,54
00:15:53.240,1s,Jonathan Stephens (he/him),8,3
00:15:55.010,2s,Jonathan Stephens (he/him),49,9
00:15:57.970,3s,Jonathan Stephens (he/him),40,7
00:16:01.950,13s,Jonathan Stephens (he/him),179,32
00:16:14.470,2s,Jonathan Stephens (he/him),5,1
00:16:16.770,10s,Jonathan Stephens (he/him),180,35
00:16:28.270,7s,Jonathan Stephens (he/him),113,20
00:16:35.080,5s,Jonathan Stephens (he/him),83,13
00:16:43.482,5s,Jonathan Stephens (he/him),56,12
00:16:49.190,26s,Jonathan Stephens (he/him),309,56
00:17:15.500,17s,Jonathan Stephens (he/him),216,45
00:17:33.710,2s,Jonathan Stephens (he/him),15,4
00:17:36.020,10s,Jonathan Stephens (he/him),160,29
00:17:47.960,6s,Jonathan Stephens (he/him),87,16
00:17:53.786,15s,Jonathan Stephens (he/him),235,42
00:18:08.450,5s,Jonathan Stephens (he/him),71,13
00:18:14.150,6s,Jonathan Stephens (he/him),77,16
00:18:22.300,1s,Jonathan Stephens (he/him),11,2
00:18:24.970,6s,Jonathan Stephens (he/him),65,14
00:18:30.920,5s,Jonathan Stephens (he/him),75,16
00:18:36.360,19s,Jonathan Stephens (he/him),299,56
00:18:57.380,1s,Jonathan Stephens (he/him),9,1
00:18:58.630,4s,Jonathan Stephens (he/him),52,9
00:19:02.850,7s,Jonathan Stephens (he/him),83,17
00:19:10.530,1s,Jonathan Stephens (he/him),11,2
00:19:11.400,1s,David Mantica--Co-host!!!,18,4
00:19:13.160,2s,David Mantica--Co-host!!!,34,6
00:19:17.200,2s,David Mantica--Co-host!!!,21,5
00:19:20.940,10s,Jonathan Stephens (he/him),111,22
00:19:30.550,4s,Jonathan Stephens (he/him),40,5
00:19:36.420,3s,David Mantica--Co-host!!!,55,10
00:19:40.270,1s,Jonathan Stephens (he/him),10,2
00:19:41.380,1s,David Mantica--Co-host!!!,26,6
00:19:43.890,14s,Jonathan Stephens (he/him),231,38
00:19:57.380,4s,Jonathan Stephens (he/him),68,11
00:20:02.490,1s,Jonathan Stephens (he/him),5,1
00:20:03.400,1s,David Mantica--Co-host!!!,12,1
00:20:04.140,1s,Jonathan Stephens (he/him),20,2
00:20:05.640,3s,David Mantica--Co-host!!!,51,12
00:20:11.390,7s,Jonathan Stephens (he/him),111,21
00:20:18.190,3s,David Mantica--Co-host!!!,47,8
00:20:21.280,3s,David Mantica--Co-host!!!,57,11
00:20:24.380,0s,Jonathan Stephens (he/him),8,2
00:20:24.770,3s,David Mantica--Co-host!!!,65,15
00:20:27.930,4s,David Mantica--Co-host!!!,86,18
00:20:33.540,11s,Jonathan Stephens (he/him),160,31
00:20:44.660,5s,David Mantica--Co-host!!!,96,18
00:20:50.010,1s,David Mantica--Co-host!!!,42,9
00:20:52.530,1s,David Mantica--Co-host!!!,33,6
00:20:56.410,12s,Jonathan Stephens (he/him),176,31
00:21:08.210,0s,David Mantica--Co-host!!!,13,2
00:21:08.790,1s,Jonathan Stephens (he/him),7,1
00:21:09.430,2s,David Mantica--Co-host!!!,30,7
00:21:11.700,6s,Jonathan Stephens (he/him),88,18
00:21:17.930,2s,Jonathan Stephens (he/him),11,3
00:21:19.550,16s,Jonathan Stephens (he/him),257,53
00:21:36.120,1s,Jonathan Stephens (he/him),30,4
00:21:37.610,5s,David Mantica--Co-host!!!,86,15
00:21:42.530,1s,Jonathan Stephens (he/him),13,3
00:21:44.050,3s,Jonathan Stephens (he/him),53,11
00:21:49.220,3s,Jonathan Stephens (he/him),57,9
00:21:54.410,1s,Jonathan Stephens (he/him),2,1
00:21:55.860,5s,Jonathan Stephens (he/him),76,14
00:22:00.650,1s,David Mantica--Co-host!!!,12,3
00:22:02.310,2s,David Mantica--Co-host!!!,16,2
00:22:04.510,1s,Jonathan Stephens (he/him),2,1
00:22:07.100,1s,Jonathan Stephens (he/him),3,1
00:22:08.600,8s,Jonathan Stephens (he/him),124,25
00:22:16.940,15s,Jonathan Stephens (he/him),180,37
00:22:31.940,3s,Jonathan Stephens (he/him),26,5
00:22:34.350,2s,Jonathan Stephens (he/him),20,4
00:22:36.250,3s,Jonathan Stephens (he/him),37,8
